metric,value
variant,01_low_frequency
condition,1 MHz / 10 mV
frequency_hz,1000000.0
nominal_input_amplitude_mv,10.0
fit_cycles,3
vin_amplitude_mv,10.00000000000001
vout_amplitude_mv,22.667265723150237
vin_pp_mv,20.000000000000018
vout_pp_mv,45.3285854516946
gain_v_per_v,2.2667265723150214
gain_db,7.107982715749634
phase_deg,179.84297191342284
vin_center_v,0.714
vout_center_v,0.5500494400182683
vin_min_v,0.704
vin_max_v,0.724
vout_min_v,0.5274334190590491
vout_max_v,0.5727620045107437
vin_thd_percent,7.980089151896654e-14
vout_thd_percent,0.2133432583432775
region_0_percent,0.0
region_1_percent,0.0
region_2_percent,99.99999999999999
region_3_percent,0.0
saturation_region_percent,99.99999999999999
high_rail_dwell_percent,0.0
low_rail_dwell_percent,0.0
minimum_sat_margin_v,0.3479996787827167
compression_db,0.0
