metric,value
variant,02_f3db
condition,365.235 MHz / 10 mV
frequency_hz,365235000.0
nominal_input_amplitude_mv,10.0
fit_cycles,10
vin_amplitude_mv,9.999999999999998
vout_amplitude_mv,16.028847157973424
vin_pp_mv,19.999979354369923
vout_pp_mv,32.057064539524276
gain_v_per_v,1.6028847157973427
gain_db,4.0980457547121505
phase_deg,134.9406415137264
vin_center_v,0.714
vout_center_v,0.5499717261309919
vin_min_v,0.7040000205809624
vin_max_v,0.7239999999353324
vout_min_v,0.5339398869263743
vout_max_v,0.5659969514658986
vin_thd_percent,2.3001576510462104e-13
vout_thd_percent,0.2535812950334163
region_0_percent,0.0
region_1_percent,0.0
region_2_percent,100.0
region_3_percent,0.0
saturation_region_percent,100.0
high_rail_dwell_percent,0.0
low_rail_dwell_percent,0.0
minimum_sat_margin_v,0.35553949218245307
compression_db,0.0
