metric,value
variant,04_amp_100m
condition,1 MHz / 100 mV
frequency_hz,1000000.0
nominal_input_amplitude_mv,100.0
fit_cycles,3
vin_amplitude_mv,100.00000000000013
vout_amplitude_mv,217.9833908148489
vin_pp_mv,199.99999999999994
vout_pp_mv,430.07542792957827
gain_v_per_v,2.179833908148486
gain_db,6.768468078306772
phase_deg,179.8441716575472
vin_center_v,0.714
vout_center_v,0.5550127976352327
vin_min_v,0.614
vin_max_v,0.814
vout_min_v,0.3451168484162665
vout_max_v,0.7751922763458448
vin_thd_percent,2.6643568558670954e-14
vout_thd_percent,2.691402550125978
region_0_percent,0.0
region_1_percent,0.0
region_2_percent,99.99999999999999
region_3_percent,0.0
saturation_region_percent,99.99999999999999
high_rail_dwell_percent,0.0
low_rail_dwell_percent,0.0
minimum_sat_margin_v,0.1251657349999384
compression_db,-0.3395146374428615
